Algorithm,Execution_time_500_1,Execution_time_500_2,Execution_time_500_3,Average,std
Local_search_BFS_Execution_time_sharing_alpha_LSLD.csv,1070.577582,1080.73444,1402.89519,1184.735737,188.9998691
Local_search_BFS_Execution_time_sharing_alpha_LSMD.csv,1077.672766,1476.486894,1213.300838,1255.820166,202.7784434
Local_search_BFS_Execution_time_sharing_alpha_LSHD.csv,1043.258377,1240.141739,1091.556599,1124.985572,102.6103636
Local_search_BFS_Execution_time_sharing_alpha_MSLD.csv,1116.638509,1452.995515,1444.863935,1338.165986,191.8915007
Local_search_BFS_Execution_time_sharing_alpha_MSMD.csv,1202.784478,1036.582577,1148.423523,1129.263526,84.74135406
Local_search_BFS_Execution_time_sharing_alpha_MSHD.csv,1264.03543,1407.000948,1225.912993,1298.983124,95.46841274
Local_search_BFS_Execution_time_sharing_alpha_HSLD.csv,1114.081647,1194.342582,1015.325416,1107.916548,89.66767958
Local_search_BFS_Execution_time_sharing_alpha_HSMD.csv,1195.598081,1229.519507,1402.966604,1276.028064,111.2326862
Local_search_BFS_Execution_time_sharing_alpha_HSHD.csv,1293.46652,1263.090683,1103.942068,1220.166424,101.7926741
Local_search_BFS_Execution_time_sharing_beta_LSLD.csv,1123.689856,1022.73521,1286.905668,1144.443578,133.3024585
Local_search_BFS_Execution_time_sharing_beta_LSMD.csv,1217.810961,1319.38958,1074.882943,1204.027828,122.8346651
Local_search_BFS_Execution_time_sharing_beta_LSHD.csv,1423.814792,1429.557709,1499.086938,1450.819813,41.8990667
Local_search_BFS_Execution_time_sharing_beta_MSLD.csv,1450.343297,1206.98627,1107.704925,1255.011497,176.2954348
Local_search_BFS_Execution_time_sharing_beta_MSMD.csv,1189.008628,1042.170448,1052.933907,1094.704328,81.8470452
Local_search_BFS_Execution_time_sharing_beta_MSHD.csv,1335.749171,1349.855986,1256.174117,1313.926425,50.50987367
Local_search_BFS_Execution_time_sharing_beta_HSLD.csv,1103.695374,1476.560943,1310.080468,1296.778928,186.788333
Local_search_BFS_Execution_time_sharing_beta_HSMD.csv,1344.413299,1162.581882,1154.901785,1220.632322,107.266228
Local_search_BFS_Execution_time_sharing_beta_HSHD.csv,1016.014155,1219.336736,1154.334867,1129.895253,103.8411722
Local_search_BFS_Execution_time_sharing_equal_LSLD.csv,1239.148677,1368.802161,1318.395045,1308.781961,65.35912355
Local_search_BFS_Execution_time_sharing_equal_LSMD.csv,1321.550548,1339.573094,1235.850517,1298.991386,55.41913119
Local_search_BFS_Execution_time_sharing_equal_LSHD.csv,1240.545495,1318.835122,1342.211791,1300.530803,53.24748837
Local_search_BFS_Execution_time_sharing_equal_MSLD.csv,1324.768839,1286.318261,1243.858592,1284.981897,40.47167443
Local_search_BFS_Execution_time_sharing_equal_MSMD.csv,1339.321459,1216.899125,1346.664808,1300.961797,72.89294136
Local_search_BFS_Execution_time_sharing_equal_MSHD.csv,1233.492689,1224.640167,1284.202927,1247.445261,32.13932633
Local_search_BFS_Execution_time_sharing_equal_HSLD.csv,1227.880539,1279.794535,1379.937636,1295.870903,77.29280329
Local_search_BFS_Execution_time_sharing_equal_HSMD.csv,1360.547224,1314.259154,1281.525332,1318.777236,39.70421483
Local_search_BFS_Execution_time_sharing_equal_HSHD.csv,1361.750808,1287.355302,1227.039046,1292.048385,67.47839249
Local_search_FFS_Execution_time_sharing_LSLD.csv,1177.196964,1262.885532,1115.784572,1185.289023,73.88358509
Local_search_FFS_Execution_time_sharing_LSMD.csv,1166.344151,1161.682609,1239.715513,1189.247424,43.7687498
Local_search_FFS_Execution_time_sharing_LSHD.csv,1107.004305,1188.286036,1166.090819,1153.79372,42.01302105
Local_search_FFS_Execution_time_sharing_MSLD.csv,1166.585993,1297.029094,1176.450051,1213.355046,72.63149895
Local_search_FFS_Execution_time_sharing_MSMD.csv,1173.506952,1174.417754,1270.808004,1206.244237,55.91571707
Local_search_FFS_Execution_time_sharing_MSHD.csv,1291.306172,1283.220965,1202.490455,1259.005864,49.11044969
Local_search_FFS_Execution_time_sharing_HSLD.csv,1135.62428,1249.382491,1120.067327,1168.358033,70.59905698
Local_search_FFS_Execution_time_sharing_HSMD.csv,1153.428651,1254.20387,1232.624446,1213.418989,53.06174124
Local_search_FFS_Execution_time_sharing_HSHD.csv,1236.382248,1246.268233,1130.451673,1204.367385,64.20344619
Local_search_WFS_Execution_time_sharing_alpha_LSLD.csv,1126.592234,1361.442749,1215.242586,1234.425856,118.5946436
Local_search_WFS_Execution_time_sharing_alpha_LSMD.csv,1326.658749,1468.628921,1169.792565,1321.693412,149.4800416
Local_search_WFS_Execution_time_sharing_alpha_LSHD.csv,1033.653057,1416.194748,1230.117899,1226.655235,191.2943514
Local_search_WFS_Execution_time_sharing_alpha_MSLD.csv,1373.201623,1430.214659,1311.312757,1371.576346,59.46761066
Local_search_WFS_Execution_time_sharing_alpha_MSMD.csv,1462.490698,1084.066305,1492.391971,1346.316325,227.6067357
Local_search_WFS_Execution_time_sharing_alpha_MSHD.csv,1450.475474,1382.379028,1404.295048,1412.383183,34.7612563
Local_search_WFS_Execution_time_sharing_alpha_HSLD.csv,1001.69352,1189.237291,1002.247961,1064.392924,108.1187487
Local_search_WFS_Execution_time_sharing_alpha_HSMD.csv,1357.939694,1279.370935,1280.049682,1305.78677,45.16703178
Local_search_WFS_Execution_time_sharing_alpha_HSHD.csv,1145.925964,1188.949854,1212.768623,1182.548147,33.8780409
Local_search_WFS_Execution_time_sharing_beta_LSLD.csv,1497.219332,1146.529124,1114.875734,1252.87473,212.1996646
Local_search_WFS_Execution_time_sharing_beta_LSMD.csv,1121.620868,1360.400533,1392.284997,1291.435466,147.9253292
Local_search_WFS_Execution_time_sharing_beta_LSHD.csv,1476.083919,1343.248759,1392.028164,1403.786947,67.19372495
Local_search_WFS_Execution_time_sharing_beta_MSLD.csv,1332.052683,1414.307777,1229.892574,1325.417678,92.38646677
Local_search_WFS_Execution_time_sharing_beta_MSMD.csv,1143.324972,1313.164587,1328.120732,1261.536764,102.647174
Local_search_WFS_Execution_time_sharing_beta_MSHD.csv,1042.757383,1118.338972,1457.799031,1206.298462,221.0600514
Local_search_WFS_Execution_time_sharing_beta_HSLD.csv,1428.457408,1149.302468,1470.40921,1349.389695,174.5455881
Local_search_WFS_Execution_time_sharing_beta_HSMD.csv,1354.006108,1333.87631,1087.806469,1258.562962,148.2215814
Local_search_WFS_Execution_time_sharing_beta_HSHD.csv,1054.729674,1399.008421,1311.551964,1255.096686,178.9479329
Local_search_WFS_Execution_time_sharing_equal_LSLD.csv,1486.81657,1467.365528,1390.587818,1448.256639,50.88079631
Local_search_WFS_Execution_time_sharing_equal_LSMD.csv,1480.832214,1308.09861,1340.385382,1376.438735,91.83739819
Local_search_WFS_Execution_time_sharing_equal_LSHD.csv,1379.404477,1352.134392,1331.284304,1354.274391,24.13135846
Local_search_WFS_Execution_time_sharing_equal_MSLD.csv,1313.294012,1404.195223,1365.161142,1360.883459,45.60133199
Local_search_WFS_Execution_time_sharing_equal_MSMD.csv,1468.866483,1393.37303,1451.235349,1437.824954,39.49296616
Local_search_WFS_Execution_time_sharing_equal_MSHD.csv,1346.104073,1398.196039,1436.735095,1393.678402,45.48408843
Local_search_WFS_Execution_time_sharing_equal_HSLD.csv,1436.047168,1364.906839,1488.910917,1429.954974,62.22611163
Local_search_WFS_Execution_time_sharing_equal_HSMD.csv,1432.513244,1434.82813,1462.633947,1443.325107,16.7619554
Local_search_WFS_Execution_time_sharing_equal_HSHD.csv,1435.739335,1339.664583,1341.83798,1372.413966,54.85214357
