Scenario,DSA-FF,DSA-BF,DSA-WF
LSLD,1.896398199428578,2.0151054031748683,2.1126022632648542
LSMD,2.1405681651847965,2.1315198482967985,2.2954760997301156
LSHD,2.0391246829302667,2.1518048128093605,2.2403296099560914
MSLD,1.932636161947876,1.9834176586952335,1.9820843093075646
MSMD,1.9577055897833386,1.9928077172365977,2.1420487541714945
MSHD,1.9292646620525953,1.9811346682561792,1.9545446093350856
HSLD,1.803563321010814,1.8650703227009122,1.925042925914719
HSMD,1.9183598317990422,1.9112816629227127,1.8805077695351333
HSHD,1.8630212502165855,1.8092966823774166,1.8952339492428913
